File,Voltage_Below_2.8V,Voltage_Above_4.2V,Current_Below_-6A,Current_Above_3A,Temperature_Below_-20C,Temperature_Above_40C
552_Mixed4.csv,0,0,3411,3357,0,0
552_Mixed5.csv,27,4,3318,3020,0,0
552_Mixed6.csv,0,6,2879,2873,0,0
552_Mixed7.csv,0,0,2916,3047,0,0
552_Mixed8.csv,35,14,2542,3114,0,0
552_PausCycl.csv,0,2,0,0,0,0
555_C20DisCh.csv,1,0,0,0,0,0
555_Dis_0p5C.csv,1,0,0,5,0,0
555_Dis_2C.csv,1,0,0,6,0,17
555_HPPC.csv,4,2,2053,2285,0,0
556_Charge1.csv,0,0,0,0,0,0
556_Charge2.csv,0,0,0,5,0,0
556_Charge3.csv,0,0,0,9,0,0
556_Charge4.csv,0,0,0,3,0,0
556_Charge5.csv,0,0,0,4,0,0
556_Charge6.csv,0,0,0,11,0,0
556_Charge7.csv,0,0,0,9,0,0
556_Charge8.csv,0,0,0,2,0,0
556_HWFET.csv,0,0,103,790,0,0
556_LA92.csv,0,9,3000,4729,0,0
556_Mixed1.csv,0,5,3022,2777,0,1000
556_Mixed2.csv,0,9,2780,2985,0,702
556_UDDS.csv,0,0,773,2887,0,0
556_US06.csv,0,4,6392,3543,0,4269
557_Cap_1C.csv,2,0,0,0,0,0
557_Charge10.csv,1,0,0,0,0,0
557_Charge9.csv,0,0,0,4,0,0
557_Mixed3.csv,0,4,3098,2860,0,0
562_Charge10.csv,0,0,0,7,0,0
562_Charge11.csv,0,0,0,0,0,0
562_Charge12.csv,0,0,0,0,0,0
562_Charge13.csv,0,0,0,0,0,0
562_Charge14.csv,0,0,0,0,0,0
562_Charge15.csv,0,0,0,0,0,0
562_Charge16.csv,0,0,0,0,0,0
562_Mixed4.csv,0,0,30,130,0,0
562_Mixed5.csv,0,12,290,284,0,0
562_Mixed6.csv,0,10,341,263,0,0
562_Mixed7.csv,0,0,297,20,0,0
562_Mixed8.csv,0,20,197,227,0,0
562_PausCycl.csv,0,3,0,0,0,0
593_C20DisCh.csv,1,0,0,0,0,0
593_Dis_0p5C.csv,1,0,0,1,0,0
593_Dis_2C.csv,1,0,0,2,0,0
593_HPPC.csv,6,8,753,63,0,0
596_Cap_1C.csv,2,0,0,0,0,0
596_Charge1.csv,0,0,0,0,0,0
596_Charge2.csv,0,0,0,2,0,0
596_Charge3.csv,0,0,0,1,0,0
596_Charge4.csv,0,0,0,2,0,0
596_Charge5.csv,0,0,0,0,0,0
596_HWFET.csv,67,2,209,2,0,0
596_LA92.csv,377,22,2860,142,0,0
596_UDDS.csv,25,35,951,31,0,0
601_Charge6.csv,0,0,0,1,0,0
601_Charge7.csv,0,0,0,1,0,0
601_Charge8.csv,0,0,0,3,0,0
601_Mixed1.csv,38,26,2158,62,0,0
601_Mixed2.csv,428,45,2705,52,0,0
601_US06.csv,908,23,5768,130,0,0
602_Cap_1C.csv,2,0,0,0,0,0
602_Charge10.csv,0,0,0,2,0,0
602_Charge11.csv,0,0,0,1,0,0
602_Charge12.csv,0,0,0,0,0,0
602_Charge17.csv,0,0,0,0,0,0
602_Mixed4.csv,384,4,2406,61,0,0
602_Mixed5.csv,401,48,2642,60,0,0
604_Charge10.csv,0,0,0,2,0,0
604_Charge13.csv,0,0,0,2,0,0
604_Charge14.csv,0,0,0,1,0,0
604_Charge15.csv,0,0,0,1,0,0
604_Charge16.csv,0,0,0,0,0,0
604_Charge17.csv,0,0,0,0,0,0
604_Charge9.csv,0,0,0,2,0,0
604_Mixed3.csv,601,9,2515,79,0,0
604_Mixed6.csv,1128,28,2856,61,0,0
604_Mixed7.csv,722,0,3137,51,0,0
604_Mixed8.csv,314,39,2668,48,0,0
604_PausCycl.csv,0,40,125,0,0,0
607_C20DisCh.csv,1,1,0,0,777,0
607_Dis_0p5C.csv,1,0,0,2,15,0
607_Dis_2C.csv,1,0,0,0,0,0
607_HPPC.csv,3,8,0,1,1983,0
610_Cap_1C.csv,2,0,0,0,0,0
610_Charge1.csv,0,0,0,0,0,0
610_Charge2.csv,0,0,0,1,0,0
610_Charge3.csv,0,0,0,1,3,0
610_Charge4.csv,0,0,0,2,0,0
610_Charge5.csv,0,0,0,0,2,0
610_Charge6.csv,0,0,0,0,2,0
610_Charge7.csv,0,0,0,2,2,0
610_Charge8.csv,0,0,0,0,0,0
610_HWFET.csv,574,1,0,0,0,0
610_LA92.csv,370,19,0,0,0,0
610_Mixed1.csv,540,41,6,0,0,0
610_Mixed2.csv,815,44,5,0,0,0
610_UDDS.csv,160,104,0,0,27,0
610_US06.csv,1140,158,12,0,0,0
611_Cap_1C.csv,2,0,0,0,3,0
611_Charge10.csv,0,0,0,1,0,0
611_Charge11.csv,0,0,0,0,0,0
611_Charge12.csv,0,0,0,1,1,0
611_Charge13.csv,0,0,0,1,1,0
611_Charge14.csv,0,0,0,1,0,0
611_Charge15.csv,0,0,0,0,1,0
611_Charge17.csv,0,0,0,0,16,0
611_Charge9.csv,0,0,0,2,0,0
611_Mixed3.csv,85,9,4,0,494,0
611_Mixed4.csv,253,17,2,0,0,0
611_Mixed5.csv,66,36,1,0,41,0
611_Mixed6.csv,485,25,4,0,0,0
611_Mixed7.csv,169,0,2,0,4,0
611_Mixed8.csv,920,18,2,0,0,0
611_PausCycl.csv,0,97,0,0,69,0
