File,Procedure,Rows
571_Charge11.csv,NN_Char_Charge,206
571_Charge12.csv,NN_Char_Charge,205
571_Charge13.csv,NN_Char_Charge,206
571_Charge14.csv,NN_Char_Charge,206
571_Charge15.csv,NN_Char_Charge,206
571_Charge16.csv,NN_Char_Charge,151
571_Charge16.csv,LG_HG2_CyclesB,1
571_Mixed4.csv,LG_HG2_CyclesB,73929
571_Mixed5.csv,LG_HG2_CyclesB,67174
571_Mixed6.csv,LG_HG2_CyclesB,73921
571_Mixed7.csv,LG_HG2_CyclesB,69325
571_Mixed8.csv,LG_HG2_CyclesB,81422
571_PausCycl.csv,LG_HG2_CyclesB,27831
575_C20DisCh.csv,LG_HG2_NN_Char,2337
575_Dis_0p5C.csv,NN_Char_Charge,211
575_Dis_0p5C.csv,LG_HG2_NN_Char,107
575_Dis_2C.csv,NN_Char_Charge,209
575_Dis_2C.csv,LG_HG2_NN_Char,27
575_HPPC.csv,HPPC_4pulse,39578
575_HPPC.csv,HPPC_Multi_Pulse,4428
575_HPPC.csv,NN_Char_Charge,212
575_HPPC.csv,LG_HG2_NN_Char,1
576_Cap_1C.csv,LG_HG2_CyclesA,375
576_Charge1.csv,NN_Char_Charge,130
576_Charge2.csv,NN_Char_Charge,208
576_Charge2.csv,LG_HG2_CyclesA,1
576_Charge3.csv,NN_Char_Charge,206
576_Charge4.csv,NN_Char_Charge,206
576_HWFET.csv,LG_HG2_CyclesA,52878
576_UDDS.csv,LG_HG2_CyclesA,148898
582_LA92.csv,LG_HG2_CyclesA,90740
549_C20DisCh.csv,LG_HG2_NN_Char,2423
549_Charge.csv,NN_Char_Charge,854
549_Charge.csv,LG_HG2_NN_Char,3
549_Dis_0p5C.csv,LG_HG2_NN_Char,111
549_Dis_2C.csv,LG_HG2_NN_Char,27
549_HPPC.csv,HPPC_4pulse,43222
549_HPPC.csv,HPPC_Multi_Pulse,4826
551_Cap_1C.csv,LG_HG2_CyclesA,397
551_Charge1.csv,NN_Char_Charge,130
551_Charge2.csv,NN_Char_Charge,212
551_Charge2.csv,LG_HG2_CyclesA,1
551_Charge3.csv,NN_Char_Charge,210
551_Charge4.csv,NN_Char_Charge,130
551_Charge5.csv,NN_Char_Charge,210
551_Charge6.csv,NN_Char_Charge,210
551_Charge7.csv,NN_Char_Charge,210
551_Charge8.csv,NN_Char_Charge,210
551_Charge8.csv,LG_HG2_CyclesA,1
551_HWFET.csv,LG_HG2_CyclesA,6002
551_LA92.csv,LG_HG2_CyclesA,100764
551_Mixed1.csv,LG_HG2_CyclesA,77227
551_Mixed2.csv,LG_HG2_CyclesA,79172
551_UDDS.csv,LG_HG2_CyclesA,159646
551_US06.csv,LG_HG2_CyclesA,40155
552_Cap_1C.csv,LG_HG2_CyclesB,393
552_Charge10.csv,NN_Char_Charge,209
552_Charge11.csv,NN_Char_Charge,209
552_Charge12.csv,NN_Char_Charge,209
552_Charge13.csv,NN_Char_Charge,209
552_Charge14.csv,NN_Char_Charge,209
552_Charge15.csv,NN_Char_Charge,209
552_Charge16.csv,NN_Char_Charge,127
552_Charge16.csv,LG_HG2_CyclesB,1
552_Charge9.csv,NN_Char_Charge,212
552_Charge9.csv,LG_HG2_CyclesB,1
552_Mixed3.csv,LG_HG2_CyclesB,73827
552_Mixed4.csv,LG_HG2_CyclesB,80850
552_Mixed5.csv,LG_HG2_CyclesB,72184
552_Mixed6.csv,LG_HG2_CyclesB,78106
552_Mixed7.csv,LG_HG2_CyclesB,73235
552_Mixed8.csv,LG_HG2_CyclesB,85915
552_PausCycl.csv,LG_HG2_CyclesB,63019
555_C20DisCh.csv,LG_HG2_NN_Char,2342
555_Dis_0p5C.csv,NN_Char_Charge,211
555_Dis_0p5C.csv,LG_HG2_NN_Char,107
555_Dis_2C.csv,NN_Char_Charge,210
555_Dis_2C.csv,LG_HG2_NN_Char,28
555_HPPC.csv,HPPC_4pulse,39884
555_HPPC.csv,HPPC_Multi_Pulse,4421
555_HPPC.csv,NN_Char_Charge,213
555_HPPC.csv,LG_HG2_NN_Char,1
556_Charge1.csv,NN_Char_Charge,131
556_Charge2.csv,NN_Char_Charge,211
556_Charge2.csv,LG_HG2_CyclesA,1
556_Charge3.csv,NN_Char_Charge,209
556_Charge4.csv,NN_Char_Charge,209
556_Charge5.csv,NN_Char_Charge,209
556_Charge6.csv,NN_Char_Charge,209
556_Charge7.csv,NN_Char_Charge,209
556_Charge8.csv,NN_Char_Charge,209
556_Charge8.csv,LG_HG2_CyclesA,1
556_HWFET.csv,LG_HG2_CyclesA,55910
556_LA92.csv,LG_HG2_CyclesA,98637
556_Mixed1.csv,LG_HG2_CyclesA,75341
556_Mixed2.csv,LG_HG2_CyclesA,78956
556_UDDS.csv,LG_HG2_CyclesA,158956
556_US06.csv,LG_HG2_CyclesA,39961
557_Cap_1C.csv,LG_HG2_CyclesB,369
557_Charge10.csv,NN_Char_Charge,33
557_Charge9.csv,NN_Char_Charge,207
557_Charge9.csv,LG_HG2_CyclesB,1
557_Mixed3.csv,LG_HG2_CyclesB,67625
562_Charge10.csv,NN_Char_Charge,432
562_Charge11.csv,NN_Char_Charge,144
562_Charge12.csv,NN_Char_Charge,143
562_Charge13.csv,NN_Char_Charge,144
562_Charge14.csv,NN_Char_Charge,143
562_Charge15.csv,NN_Char_Charge,144
562_Charge16.csv,NN_Char_Charge,134
562_Charge16.csv,LG_HG2_CyclesB,1
562_Mixed4.csv,LG_HG2_CyclesB,11327
562_Mixed5.csv,LG_HG2_CyclesB,13087
562_Mixed6.csv,LG_HG2_CyclesB,11761
562_Mixed7.csv,LG_HG2_CyclesB,7848
562_Mixed8.csv,LG_HG2_CyclesB,14385
562_PausCycl.csv,LG_HG2_CyclesB,7925
593_C20DisCh.csv,LG_HG2_NN_Char,2206
593_Dis_0p5C.csv,NN_Char_Charge,207
593_Dis_0p5C.csv,LG_HG2_NN_Char,95
593_Dis_2C.csv,NN_Char_Charge,198
593_Dis_2C.csv,LG_HG2_NN_Char,21
593_HPPC.csv,HPPC_4pulse,35771
593_HPPC.csv,HPPC_Multi_Pulse,4104
593_HPPC.csv,NN_Char_Charge,208
593_HPPC.csv,LG_HG2_NN_Char,1
596_Cap_1C.csv,LG_HG2_CyclesA,341
596_Charge1.csv,NN_Char_Charge,130
596_Charge1.csv,LG_HG2_CyclesA,1
596_Charge2.csv,NN_Char_Charge,204
596_Charge3.csv,NN_Char_Charge,202
596_Charge4.csv,NN_Char_Charge,202
596_Charge5.csv,NN_Char_Charge,202
596_HWFET.csv,LG_HG2_CyclesA,44903
596_LA92.csv,LG_HG2_CyclesA,72098
596_UDDS.csv,LG_HG2_CyclesA,123602
601_Charge6.csv,NN_Char_Charge,201
601_Charge7.csv,NN_Char_Charge,201
601_Charge8.csv,NN_Char_Charge,201
601_Charge8.csv,LG_HG2_CyclesA,1
601_Mixed1.csv,LG_HG2_CyclesA,62622
601_Mixed2.csv,LG_HG2_CyclesA,65254
601_US06.csv,LG_HG2_CyclesA,31913
602_Cap_1C.csv,LG_HG2_CyclesB,337
602_Charge10.csv,NN_Char_Charge,203
602_Charge11.csv,NN_Char_Charge,202
602_Charge12.csv,NN_Char_Charge,201
602_Charge17.csv,NN_Char_Charge,129
602_Charge17.csv,LG_HG2_CyclesB,2
602_Mixed4.csv,LG_HG2_CyclesB,65677
602_Mixed5.csv,LG_HG2_CyclesB,60087
604_Charge10.csv,NN_Char_Charge,201
604_Charge10.csv,LG_HG2_CyclesB,1
604_Charge13.csv,NN_Char_Charge,201
604_Charge14.csv,NN_Char_Charge,201
604_Charge15.csv,NN_Char_Charge,201
604_Charge16.csv,NN_Char_Charge,152
604_Charge16.csv,LG_HG2_CyclesB,1
604_Charge17.csv,NN_Char_Charge,138
604_Charge17.csv,LG_HG2_CyclesB,2
604_Charge9.csv,NN_Char_Charge,203
604_Charge9.csv,LG_HG2_CyclesB,1
604_Mixed3.csv,LG_HG2_CyclesB,55214
604_Mixed6.csv,LG_HG2_CyclesB,55968
604_Mixed7.csv,LG_HG2_CyclesB,55940
604_Mixed8.csv,LG_HG2_CyclesB,67325
604_PausCycl.csv,LG_HG2_CyclesB,22150
607_C20DisCh.csv,LG_HG2_NN_Char,2150
607_Dis_0p5C.csv,NN_Char_Charge,202
607_Dis_0p5C.csv,LG_HG2_NN_Char,81
607_Dis_2C.csv,NN_Char_Charge,184
607_Dis_2C.csv,LG_HG2_NN_Char,15
607_HPPC.csv,HPPC_4pulse,32115
607_HPPC.csv,HPPC_Multi_Pulse,3745
607_HPPC.csv,NN_Char_Charge,206
607_HPPC.csv,LG_HG2_NN_Char,1
610_Cap_1C.csv,LG_HG2_CyclesA,270
610_Charge1.csv,NN_Char_Charge,129
610_Charge1.csv,LG_HG2_CyclesA,1
610_Charge2.csv,NN_Char_Charge,192
610_Charge2.csv,LG_HG2_CyclesA,1
610_Charge3.csv,NN_Char_Charge,190
610_Charge4.csv,NN_Char_Charge,190
610_Charge5.csv,NN_Char_Charge,190
610_Charge6.csv,NN_Char_Charge,191
610_Charge7.csv,NN_Char_Charge,191
610_Charge8.csv,NN_Char_Charge,191
610_Charge8.csv,LG_HG2_CyclesA,1
610_HWFET.csv,LG_HG2_CyclesA,33345
610_LA92.csv,LG_HG2_CyclesA,52485
610_Mixed1.csv,LG_HG2_CyclesA,45343
610_Mixed2.csv,LG_HG2_CyclesA,43043
610_UDDS.csv,LG_HG2_CyclesA,81911
610_US06.csv,LG_HG2_CyclesA,27606
611_Cap_1C.csv,LG_HG2_CyclesB,264
611_Charge10.csv,NN_Char_Charge,190
611_Charge10.csv,LG_HG2_CyclesB,1
611_Charge11.csv,NN_Char_Charge,190
611_Charge12.csv,NN_Char_Charge,190
611_Charge13.csv,NN_Char_Charge,190
611_Charge14.csv,NN_Char_Charge,190
611_Charge15.csv,NN_Char_Charge,190
611_Charge17.csv,NN_Char_Charge,129
611_Charge17.csv,LG_HG2_CyclesB,2
611_Charge9.csv,NN_Char_Charge,191
611_Charge9.csv,LG_HG2_CyclesB,1
611_Mixed3.csv,LG_HG2_CyclesB,45163
611_Mixed4.csv,LG_HG2_CyclesB,46053
611_Mixed5.csv,LG_HG2_CyclesB,45458
611_Mixed6.csv,LG_HG2_CyclesB,44196
611_Mixed7.csv,LG_HG2_CyclesB,40683
611_Mixed8.csv,LG_HG2_CyclesB,46763
611_PausCycl.csv,LG_HG2_CyclesB,16617
